mH,tau
1.0083339462612304, 3.606332584960974e-7
1.073353543795782, 7.670127927545713e-7
1.1542821001156107, 0.0000011915151915359602
1.2460706377016573, 0.0000019078552690404202
1.350314399936784, 0.0000028785671817558678
1.4688879588377448, 0.0000028573649630829665
1.5978736772114168, 0.0000021937382747681708
1.738185865683963, 0.0000016976057623426521
1.890819122157525, 0.0000013084960125481277
2.056855381981685, 0.0000010105695287365268
2.237471587213283, 7.789359744688954e-7
2.433948029327859, 6.003953563495886e-7
2.647677424519746, 4.949402785558138e-7
2.847306626664305, 3.818622018999548e-7
2.9583502445477756, 2.3050404153326095e-7
3.157153414429003, 1.4065892706467032e-7
