mH,tau
0.08462204259529213, 35.91677103476873
0.09205285778356403, 32.94255839307029
0.10013618634386985, 30.036039357152458
0.10892932666002014, 27.49441416208154
0.1184946085909309, 25.21764395638028
0.1288998352935868, 23.129409594323867
0.14021876384328147, 21.25606248314873
0.15253162805799295, 19.418978951765553
0.16592570723291739, 17.740667813150548
0.18049594481661418, 16.30377731827863
0.19634562141422685, 14.777428858688355
0.210343381859932, 12.223964176928071
0.21141910609326772, 6.816713761157999
0.21358708688833833, 4.260669627258974
0.21358708688833833, 2.6411043017226867
0.21304301635075715, 1.588260518249233
0.2152276494073769, 1.0145304859170385
0.21467939986372997, 0.5991480586908948
0.21715757226627824, 0.35159014801901933
0.21688081308792803, 0.21020002479467742
0.21646633552838263, 0.13984799113024565
0.2190249810926667, 0.08073716620578517
0.21798997062034609, 0.04522820363478407
0.22022533183511933, 0.024287654018743825
0.22276752423943127, 0.01357209370800988
0.22620282195192237, 0.008623763882877937
0.23079217379799755, 0.005321996136522122
0.2401142671296253, 0.003045743213084231
0.25566256455203634, 0.0017777457323334574
0.2718014080458219, 0.0011082324530986064
0.27811275849064865, 0.000632026947222071
0.28224723157552545, 0.0003768321539741101
0.2920914007317952, 0.00021712280765149897
0.308672360774097, 0.00013980395369982612
0.3328994374436712, 0.00009324703010948474
0.36213194141139304, 0.00006358580083628445
0.393931404622978, 0.000043876772925848404
0.4285232364298429, 0.00003212596571572951
0.4661526397877741, 0.00002394428090604922
0.5070863493692626, 0.00001838319086432911
0.5516145223026361, 0.000014595868744492578
0.60005279494043, 0.00001165772215249024
0.6527445202363213, 0.000009459393949125839
0.7100632015901926, 0.0000075851387410656114
0.7724151404135521, 0.000005754839692038021
0.8338376090984427, 0.000003871565167539946
0.8830890620570094, 0.0000024736391163838316
0.9165722626236965, 0.000001458668746102774
0.9496720843120721, 8.2954101130077e-7
0.9980990174443255, 4.850855282873146e-7
1.0083339462612304, 3.606332584960974e-7
1.073353543795782, 7.670127927545713e-7
1.1542821001156107, 0.0000011915151915359602
1.2460706377016573, 0.0000019078552690404202
1.350314399936784, 0.0000028785671817558678
1.4688879588377448, 0.0000028573649630829665
1.5978736772114168, 0.0000021937382747681708
1.738185865683963, 0.0000016976057623426521
1.890819122157525, 0.0000013084960125481277
2.056855381981685, 0.0000010105695287365268
2.237471587213283, 7.789359744688954e-7
2.433948029327859, 6.003953563495886e-7
2.647677424519746, 4.949402785558138e-7
2.847306626664305, 3.818622018999548e-7
2.9583502445477756, 2.3050404153326095e-7
3.157153414429003, 1.4065892706467032e-7
3.408210322282125, 9.096116003645671e-8
3.707491458153076, 6.633779595544541e-8
4.033053013897949, 5.072986075737098e-8
4.387202720896937, 4.0839493943861486e-8
4.772450956612321, 3.393350782205474e-8
5.191528539308848, 2.904361366027015e-8
5.647406085360772, 2.535448960869676e-8
6.143315066359213, 2.2353743194046e-8
6.682770715282313, 1.9708140155736237e-8
7.269596944097796, 1.7548184436111806e-8
7.90795344942543, 1.565586151787128e-8
8.602365198396932, 1.3885037403581307e-8
9.357754503722749, 1.1931235391655692e-8
9.98660203850638, 7.613252404538696e-9
10.536084252913692, 4.632833084270372e-9
11.330482420023682, 2.9334403383185346e-9
12.325432651369713, 2.109962218993244e-9
13.407751268823125, 1.6555196341739861e-9
14.585110248981865, 1.3837493768547227e-9
15.865855258637117, 1.2032204216606963e-9
17.259064812732227, 1.069235845705532e-9
18.774614627089395, 9.634062382163338e-10
20.423247622066135, 8.784049903689081e-10
22.216650073359958, 8.056656223350416e-10
24.167534449753273, 7.433435357841716e-10
26.28972952499129, 6.912851636440745e-10
28.598278402547383, 6.390726109733205e-10
31.10954514812107, 5.943166156561672e-10
33.84133078572927, 5.559813674320377e-10
36.81299947962488, 5.139882682629811e-10
40.04561579647867, 4.798851807737993e-10
43.56209402080282, 4.462775147047239e-10
47.38736058203232, 4.142041446280129e-10
51.54853074462389, 3.8595826013468117e-10
56.075100813632865, 3.582199544760293e-10
59.843386132014345, 3.3859446351693056e-10
