m,tanb
0.1008827224906202, 671.3697520678782
0.11210328023832554, 826.9990871632151
0.12567145440192545, 1042.5782292730912
0.14337999127371706, 1345.1559464019326
0.16073367342326167, 1695.8063514997784
0.17861108017954952, 2137.86304069737
0.19674020961625902, 2514.215008053362
0.2304599269281974, 3397.716371105533
0.24942878136380742, 3995.854425995198
0.28962234198428005, 5400.00753963769
0.310717999572266, 6967.201164006108
0.3513998135431099, 7822.7627837296095
0.39740803277607784, 10093.089976722778
0.43391491671849886, 12724.1203033503
0.47795753536119934, 16040.99813511236
0.569803602715391, 18010.80810950488
0.6221471697263401, 26702.956983288692
0.6974473851731295, 30684.675099406897
0.7887630631097907, 43433.71344676804
0.8999087473279014, 36086.44201407987
0.9825765886595844, 26091.496789536603
1.11122378015471, 26702.956983288692
1.2026871526034497, 39590.00103249501
1.33645456405951, 45493.32568777106
1.485100092679224, 57352.361901627664
1.5932725590172916, 65904.25892669466
1.8018772035503385, 93286.52455567272
2.0199634510465385, 104741.96672943303
2.606336789732463, 95472.71559098928
2.8962234198427996, 83083.94367040957
3.1622776601683795, 65904.25892669466
3.5450169872925206, 52276.903969637984
3.9740803277607775, 39590.00103249501
4.226240411755457, 32139.732183655393
4.263546386377699, 24339.85055951357
4.416092564452798, 14286.622765964932
4.416092564452798, 11869.889611278191
4.455074406725829, 8006.091018441487
4.377451812785287, 6205.210793389935
4.080252343563839, 4486.539222430449
3.904838291510346, 4089.4981882229026
3.5139981354310965, 3397.716371105533
3.2183523367703164, 2822.9567558496055
2.947580324291852, 2041.075900569873
2.7474594902238434, 1475.7543923599046
2.4508288110596697, 1018.7046527822172
2.3045992692819737, 846.3799998854179
2.073929041512337, 736.5516713225057
1.754990658596251, 545.027619725446
1.4464563870373928, 367.61426382098847
1.3247606042588422, 305.4284278774203
1.2026871526034497, 278.39921607992676
1.063451179442254, 253.7619829710934
0.9570090187362578, 226.00848728456225
0.7750201198111029, 175.1704173067101
0.7036039101022945, 142.20586390275236
0.6674634377047055, 126.65306208344258
0.6221471697263401, 105.2283587582562
0.5549767753483118, 76.08301709650424
0.5172975934594313, 64.69417681238752
0.4737754132335583, 53.75047342083917
0.43774518127852863, 45.70458380779809
0.3769952496279058, 36.25401723051225
0.3452772300468029, 30.8271660401579
0.316227766016838, 25.61242526798842
0.29475803242918536, 22.811239976660904
0.2675968001989188, 18.952477772730898
0.24293840913021997, 16.493158133577577
0.2186223994382094, 13.082784905663328
0.2110704718032779, 11.385130897615369
0.16795418880744978, 6.38012186059304
0.16215250570856876, 5.951793946163957
0.14337999127371706, 4.94498512960971
0.13016787553232628, 4.108488659595061
0.12026871526034504, 3.6591505792521812
0.1101500586741233, 3.2589558037045308
0.0991250013195251, 2.70766900419341
0.09739790564741578, 2.6456671886283116
