m,tanb
0.1044922232102382, 1.7436073543322057
0.11210328023832554, 2.356315284738291
0.1224013645841224, 2.9025296173162705
0.13964910861804788, 3.413494403643126
0.15655123158441367, 4.303311824915588
0.17244127344529425, 5.060871986919692
0.1850016375170537, 6.091275598322527
0.20022887975038062, 7.1635910420604
0.2186223994382094, 7.1635910420604
0.2450828811059672, 7.33147143626975
0.26293435107567403, 7.679127372555547
0.27961784576730914, 8.231764886870343
0.28708815031355694, 10.620792930499443
0.29998479083578594, 13.70316621317314
0.3218352336770319, 17.275258204904567
0.3452772300468029, 19.851197963116945
0.36397260944456283, 22.288894633986505
0.3836802687739558, 25.61242526798842
0.44160925644528015, 31.549607725730418
0.46962988461934985, 37.97317066566606
0.5218638956603342, 47.8718799657896
0.535806075286159, 50.141948586521465
0.6059583133581279, 60.35094913817821
0.6674634377047055, 70.97520242642695
0.735211368260053, 85.42589493342138
0.8169843558506527, 107.6944094089166
0.9321067411059996, 129.62120555583627
1.0449222321023817, 167.23995431478403
1.1015005867412326, 192.17735567638957
1.181732239629806, 236.72573455729082
1.2902890833901604, 278.39921607992676
1.551814103737828, 422.42978012937016
1.6502785388951167, 474.3035093930039
1.8018772035503385, 584.2511791723767
1.9674020961625893, 671.3697520678782
2.073929041512337, 736.5516713225057
2.244631421846288, 886.5150578845588
2.494287813638073, 1042.5782292730912
2.5835313772135713, 1092.0169420335333
2.870881503135569, 1284.2569109635958
3.246761456674388, 1619.032374941312
3.304334231190638, 1656.974768881303
3.639726094445628, 1948.670589547296
3.83, 2239.2397948080843
3.83, 2633.4382472416587
3.83, 3397.716371105533
3.83, 4283.420831709195
3.83, 8582.258859545691
3.83, 11869.889611278191
3.83, 14964.089664286565
3.83, 24910.260523306326
3.836802687739554, 36086.44201407987
3.5450169872925206, 39590.00103249501
3.275421350269238, 41467.34570963812
2.796178457673092, 37797.649088223676
2.560925511753295, 30684.675099406897
2.4724628281814924, 28624.666971436603
2.244631421846288, 30684.675099406897
2.0022887975038053, 37797.649088223676
1.9674020961625893, 39590.00103249501
1.7093241457805366, 35260.113198152714
1.6215250570856872, 31403.777477198775
1.5114344365818582, 27328.74688650746
1.372159447552731, 25494.03817503942
1.1713920981262982, 23782.502182390675
1.0357791763594966, 20222.507728328124
1.0000000000000004, 17195.407602026426
0.9739790564741574, 14964.089664286565
0.9239508194207036, 12432.755827465431
0.8920345576633038, 9415.492859561626
0.8764922726352699, 7468.604063867918
0.85368511670819, 5656.074100554184
0.8241960605045939, 3814.950731560345
0.8098357535172728, 3097.0318668481877
0.7750201198111029, 2695.153474768906
0.6733552875859911, 2695.153474768906
0.6167033902006223, 2889.113392964344
0.569803602715391, 3243.8920875740673
0.5264705056377544, 3097.0318668481877
0.48643285508483547, 2695.153474768906
0.46552062932581467, 2514.215008053362
0.44160925644528015, 2187.964349933281
0.41892608639189, 1860.448729763742
0.3904838291510348, 1510.339034013918
0.3704267063202561, 1314.3537653502806
0.33629279074299556, 1067.0112884883351
0.310717999572266, 928.5533069808586
0.28962234198428005, 826.9990871632151
0.2747459490223844, 736.5516713225057
0.26063367897324646, 626.297508622159
0.22844340560855214, 496.79482400495334
0.22055222852758385, 463.4426254866909
0.20739290415123374, 403.30518255455445
0.19331232401691537, 335.0818506934682
0.17093241457805375, 265.7952917755322
0.16502785388951174, 247.95119013000323
0.15247762082845454, 215.77644027668705
0.14088182270776992, 192.17735567638957
0.11921636558879284, 148.94921865632352
0.11713920981262989, 145.53849084232812
0.1082308688926731, 120.91911775020397
0.10541459956546395, 112.80124247254682
0.1044922232102382, 110.21825252050103
