m,tanb
0.23101297000831597, 10000
0.2624051365288866, 10170.749105814353
0.30631340847555594, 10000
0.4024788681558642, 10000
0.4872446010377413, 9832.117473316936
0.5792230682136879, 9832.117473316936
0.6639484897184722, 9832.117473316936
0.9047357242349293, 9832.117473316936
1.2106091514077972, 10170.749105814353
1.4789737787631334, 12462.014013849126
1.5762621910672043, 18709.355342795676
1.8400182663489575, 19028.81591231025
2.3525642980014365, 19684.19447286611
2.9806315928609926, 24530.4707372189
3.32459793227094, 32162.732684494313
3.8457428135057756, 581709.1329374358
4.328761281083057, 643907.567885082
4.32876, 10170749.105814373
3.81090101065882, 10170749.105814373
3.294477617075969, 1017074.9105814373
2.6240513652888646, 1017074.9105814373
2.2892003016640743, 1017074.9105814373
2.071121292844865, 775721.5960572148
1.8068287652751125, 689025.4987297216
1.664730258810724, 516696.23157982563
1.4261007150193243, 516696.23157982563
1.1462742527953447, 633097.4849403932
1.0183689244446972, 516696.23157982563
0.8803675608799872, 491107.39147777035
0.7964999827856939, 407656.2617621309
0.7140932710568746, 400812.4254378514
0.6061898993497572, 316227.7660168379
0.5385490900669024, 316227.7660168379
0.47845588110755566, 262492.95204437803
0.42506808457882517, 196841.94472866112
0.38457428135057775, 203621.4517136349
0.3416621251964935, 160650.60038537288
0.2980631592860995, 122527.98573828638
0.2672252366556862, 100000
0.23740730124042783, 78896.697294598




