m,tanb
0.10164350815702632, 16.662816085429732
0.11208758758499676, 16.993278908966396
0.12160620967037455, 16.993278908966396
0.13301291319609115, 16.338779666021715
0.14668026348293461, 16.662816085429732
0.16848012364605888, 16.662816085429732
0.1769243507691087, 16.993278908966396
0.19993321780439124, 17.673996098891937
0.1983102366275114, 24.19888240891244
0.19670043018932395, 29.44985464904383
0.19670043018932395, 41.121835805992966
0.1983102366275114, 53.08192879627631
0.1983102366275114, 77.08921147503759
0.1983102366275114, 116.43889652090658
0.20655905963340981, 240.8036763475872
0.22228116016987598, 655.5882030290214
0.24914959009035642, 1438.0782436484917
0.27926576501018846, 1555.5989974576494
0.30298137291815735, 2008.0376666104864
0.3233959027080861, 2443.7664687235324
0.32871094074858215, 2172.135900694421
0.3396045117358649, 1682.7236289673924
0.3480109590725051, 1410.1123990690799
0.35662549656808473, 1278.2323601764163
0.37449957349610086, 1968.9880046452508
0.3932694995125953, 2396.24332903726
0.4266664511663852, 2592.0659997315656
0.45541473656032666, 2695.899044130534
0.48610004772892684, 3280.8884995821077
0.51885289919854, 3992.8161887685706
0.5768487380830928, 4319.111903482263
0.6107179825620919, 4152.760519139893
0.6518674444190318, 4404.770048388731
0.695789508785582, 4955.596628760126
0.7548768486757228, 5798.641054251347
0.7927112912331195, 6272.510032364416
0.8256845519551131, 5256.32612370814
0.8392547449178008, 4672.072730840006
0.8885309628570806, 3992.8161887685706
0.9179771233537143, 4764.730918896951
0.9639861548976795, 5913.64174114839
1.0040836874664263, 6272.510032364416
1.0805088256781785, 6653.156181637711
1.1346639493511292, 7485.148596213111
1.211116276345647, 9109.36854273006
1.2718174480243296, 9853.792472787618
1.3355609636258285, 8932.22158566586
1.3798218213020859, 7485.148596213111
1.4255494959755397, 6919.668477726166
1.4727925983649193, 7633.596693282309
1.6508176936376266, 9662.168943241246
1.7055262460568126, 11086.03178422691
1.8204426055091725, 12719.721777050767
1.9912007365529114, 14594.160041627747
2.4017675534553566, 20782.473152833027
2.542785548432731, 25292.11073703036
2.605728742832617, 36730.93494284973
2.542785548432731, 51288.656386272305
2.584576436336907, 64918.24008885783
2.670230010316452, 92445.30537746396
2.7141154583473646, 129084.53077510759
2.7141154583473646, 160210.44678530362
2.7141154583473646, 256673.87259146606
2.7141154583473646, 324883.0688785521
2.542785548432731, 365510.44054268714
2.3058542805883917, 419373.78502964944
2.1427596089835386, 444823.4081556449
1.9431018945706864, 427690.9532926622
1.7910072551773997, 419373.78502964944
1.5466089924688713, 387691.37624368863
1.402499305487614, 372759.3720314938
1.282226067436387, 358402.4766905707
1.1533122439135515, 344598.5397976314
1.0289384121493272, 324883.0688785521
0.9798293459860267, 312370.13810364675
0.8885309628570806, 288771.5280779221
0.8392547449178008, 256673.87259146606
0.773562797344676, 237282.94534134355
0.7306624927012615, 237282.94534134355
0.6008430775712802, 228143.94933465475
0.5815696978264582, 219356.94342944594
0.5360478269867816, 206806.90348551262
0.4782401321469191, 187465.39390588895
0.43367874909459925, 166628.160854297
0.40962775993457706, 154039.912146607
0.37449957349610086, 145226.84691978554
0.3654532752111861, 154039.912146607
0.3451859395878731, 160210.44678530362
0.3130222589507059, 160210.44678530362
0.29808236493578105, 160210.44678530362
0.27475022268884935, 151044.3475720473
0.2511886431509582, 136918.00243426318
0.23533223311126222, 119332.58867011465
0.22964761895561556, 100000
0.21340448368305828, 62417.90220709451
0.19993321780439124, 16099.894408757984
0.19993321780439124, 8932.22158566586
0.1951036915423535, 3549.0049886101733
0.19194899416590694, 2695.899044130534
0.17124910822114978, 3915.169177931413
0.16175196210991177, 3217.086117293846
0.15913654009267927, 2916.2097881800446
0.14082266743231062, 3033.0273925327715
0.13854565823796394, 2443.7664687235324
0.13410149771936364, 1329.435823907717
0.1319331653844473, 797.8458245543507
0.12563627290624307, 618.0801214239723
0.11866872689647878, 560.274495073911
0.10673788279236675, 630.3381035711955
0.10000000000000007, 846.262955696972
0.10081840514361771, 1278.2323601764163
