m,sintheta2
0.1513126352272118, 1.97621109553519e-9
0.1648745393429381, 1.8478497974222944e-9
0.1848664616052629, 1.3207886655325506e-9
0.20728251167613618, 5.158221650723082e-10
0.23576550460201515, 1.4399033208816385e-10
0.27008744498244724, 6.431811877215117e-11
0.3419951893353393, 3.758374042884451e-11
0.43615628105261756, 3.285993247600674e-11
0.5367000037523387, 2.5118864315095923e-11
0.6699372593377401, 2.3487312889293298e-11
0.75117074549449, 2.1961736002054456e-11
0.8855007492689015, 1.920141938638809e-11
1.1374114617560283, 9.809947127268825e-12
1.3698955897825704, 6.556418494179812e-12
1.9449462410771903, 2.9286445646252493e-12
2.5707651421927173, 2.0933089646823516e-12
3.052243678962067, 2.0933089646823516e-12
3.572423493403175, 2.0933089646823516e-12
4.181255154751863, 6.556418494179812e-12
3.676114840883087, 2.8729848333536684e-11
2.903176698964088, 5.623413251903514e-11
2.1192685928895374, 1.2589254117941713e-10
1.7977766480019828, 2.818382931264461e-10
1.4505734836512458, 8.827410710022497e-10
1.1872899740497787, 2.764818754010117e-9
1.0896283651088463, 4.731512589614813e-9
1.007178701612, 1.1328350213326094e-8
0.95116150750825, 3.5481338923357604e-8
0.8184969513307548, 6.944910713781228e-8
0.6464001752202502, 9.085175756516899e-8
0.5602357237932529, 1.2710617996147484e-7
0.5104883846487582, 2.1752040340195288e-7
0.429961000097989, 3.48070058842842e-7
0.3807307877431755, 4.553374104426258e-7
0.2964075966808186, 3.9810717055349856e-7
0.2681623872210259, 5.956621435290122e-7
0.24610444790893277, 0.0000013335214321633269
0.22265271536896064, 0.0000066834391756861625
0.21637240012420547, 0.00003582338880616481
0.19857449296723395, 0.00028729848333536686
0.19715914628597025, 0.0016468978654828688
0.19857449296723395, 0.00630957344480193
