m,sintheta2
0.08974358974359031, 1.2915496650148827e-7
0.12820512820512775, 1e-7
0.16666666666666696, 7.92482898353917e-8
0.17948717948717974, 5.462277217684337e-8
0.1923076923076925, 3.4304692863149195e-8
0.17948717948717974, 2.656087782946684e-8
0.17948717948717974, 2.009233002565046e-8
0.1923076923076925, 1.519911082952933e-8
0.2051282051282053, 1.1233240329780265e-8
0.21794871794871717, 5.994842503189421e-9
0.2051282051282053, 3.430469286314912e-9
0.2051282051282053, 2.364489412645407e-9
0.21794871794871717, 1.3530477745798075e-9
0.23076923076923173, 9.770099572992246e-10
0.2435897435897436, 4.6415888336127727e-10
0.2948717948717956, 2.310129700083158e-10
0.4102564102564106, 1.3530477745798075e-10
0.4487179487179489, 9.770099572992247e-11
0.4871794871794872, 6.135907273413188e-11
0.6153846153846159, 3.6783797718286346e-11
0.6923076923076925, 2.257019719633917e-11
0.7307692307692317, 2.5353644939701166e-11
0.7564102564102564, 2.848035868435805e-11
0.833333333333333, 3.0538555088334125e-11
0.9102564102564106, 2.656087782946684e-11
0.9487179487179489, 2.257019719633917e-11
1.0256410256410264, 2.0565123083486514e-11
1.0897435897435903, 2.4201282647943836e-11
1.1153846153846159, 2.7825594022071145e-11
1.2051282051282053, 3.125715849688235e-11
1.2564102564102564, 3.125715849688235e-11
1.333333333333333, 2.983647240283334e-11
1.4230769230769225, 2.91505306282517e-11
1.5128205128205119, 2.71858824273294e-11
1.6410256410256405, 2.4770763559917138e-11
1.73076923076923, 2.4201282647943836e-11
1.884615384615385, 2.4201282647943836e-11
2, 2.4770763559917138e-11
2.064102564102564, 2.5950242113997427e-11
2.179487179487179, 2.848035868435805e-11
2.282051282051281, 2.983647240283334e-11
2.3589743589743577, 3.199267137797384e-11
2.4871794871794872, 3.2745491628777315e-11
2.6282051282051277, 3.5111917342151276e-11
2.820512820512821, 3.764935806792471e-11
2.935897435897436, 4.5348785081285915e-11
2.9871794871794872, 5.214008287999674e-11
3.0769230769230766, 7.390722033525775e-11
3.102564102564102, 9.545484566618327e-11
3.1410256410256405, 1.2618568830660183e-10
3.1282051282051277, 1.592282793341094e-10
3.051282051282051, 2.104904144512022e-10
2.9230769230769234, 2.5353644939701164e-10
2.8461538461538467, 2.782559402207126e-10
2.717948717948717, 3.6783797718286343e-10
2.666666666666666, 4.862601580065354e-10
2.6282051282051277, 6.734150657750828e-10
2.5897435897435894, 9.32603346883218e-10
2.551282051282051, 1.0974987654930546e-9
2.5, 1.1497569953977357e-9
2.3461538461538467, 1.1233240329780266e-9
2.2692307692307683, 1.0722672220103253e-9
2.23076923076923, 1.0722672220103253e-9
2.166666666666666, 1.176811952434999e-9
2.1410256410256405, 1.3219411484660288e-9
2.102564102564103, 1.4849682622544636e-9
2, 1.62975083462064e-9
1.8974358974358978, 1.7073526474706886e-9
1.8076923076923066, 1.7073526474706886e-9
1.7564102564102564, 1.6681005372000556e-9
1.5897435897435894, 1.519911082952933e-9
1.551282051282051, 1.4849682622544636e-9
1.4230769230769225, 1.3219411484660288e-9
1.333333333333333, 1.176811952434999e-9
1.102564102564103, 8.497534359086438e-10
1.0256410256410264, 6.428073117284319e-10
0.9871794871794872, 5.590810182512223e-10
0.9230769230769225, 7.220809018385456e-10
0.8974358974358978, 8.497534359086438e-10
0.8717948717948723, 1.0235310218990269e-9
0.7948717948717947, 1.4849682622544636e-9
0.7948717948717947, 2.205130739903041e-9
0.7692307692307692, 2.9150530628251698e-9
0.7564102564102564, 3.764935806792472e-9
0.7692307692307692, 5.462277217684337e-9
0.7564102564102564, 6.892612104349681e-9
0.7051282051282053, 8.697490026177834e-9
0.6153846153846159, 1.4849682622544636e-8
0.5897435897435903, 2.477076355991709e-8
0.5384615384615383, 3.053855508833412e-8
0.4871794871794872, 4.4306214575838774e-8
0.4615384615384617, 6.734150657750828e-8
0.43589743589743524, 1.1497569953977356e-7
0.3974358974358978, 1.6297508346206436e-7
0.3461538461538458, 2.98364724028334e-7
0.28205128205128194, 6.428073117284319e-7
0.23076923076923173, 8.497534359086439e-7
0.17948717948717974, 9.545484566618346e-7
