Unnamed: 0,number_of_production,m,id,total_events,seed,decay_pos_x,LLP_number_per_ev,Cross_section_fb,decay_pos_y,decay_pos_t,mass_input,tau,tanb,decay_pos_z,tau_input,detected_SHiP,cross_section,detector_acceptance_SHiP,significance_lowest
13544,33692,0.446684,999999,35357,406442,-267.758,113327,887205.0,-1520.28,1543.68,0.446684,2303.17,2511.89,45376.2,430.969,True,3.203852038520385,6.242547958374691e-06,(120.5715562480536+0j)
626,33692,0.501187,999999,35357,406442,-327.791,113327,887205.0,-1854.59,1883.33,0.501187,3159.15,3162.28,55462.1,591.139,True,3.203852038520385,6.242547958374691e-06,(79.68130975246405+0j)
1330,33692,0.562341,999999,35357,406442,-394.53,113327,887205.0,-2222.3,2257.05,0.562341,4258.8,3981.07,66622.0,796.906,True,3.203852038520385,6.242547958374691e-06,(54.34670126525381+0j)
7728,33692,0.630957,999999,35357,406442,-316.162,113327,887205.0,-1770.92,1798.92,0.630957,3820.79,3981.07,53255.3,714.945,True,3.203852038520385,6.242547958374691e-06,(61.51799132713819+0j)
3628,33692,0.707946,999999,35357,406442,-394.36,113327,887205.0,-2193.4,2228.57,0.707946,5332.45,5011.87,66219.4,997.808,True,3.203852038520385,6.242547958374691e-06,(46.82128531689251+0j)
9990,33692,0.794328,999999,35357,406442,-311.299,113327,887205.0,-1716.08,1744.09,0.794328,4706.46,5011.87,52066.9,880.673,True,3.203852038520385,6.242547958374691e-06,(61.275454826224475+0j)
11752,33692,0.891251,999999,35357,406442,-390.56,113327,887205.0,-2128.97,2164.5,0.891251,6596.31,6309.57,65002.0,1234.3,True,3.203852038520385,6.242547958374691e-06,(55.66458901893252+0j)
7160,33692,1.0,999999,35357,406442,-306.518,113327,887205.0,-1647.33,1675.6,1.0,5776.78,6309.57,50699.9,1080.95,True,3.203852038520385,6.242547958374691e-06,(88.61419421931535+0j)
10630,33692,1.12202,999999,35357,406442,-389.969,113327,887205.0,-2058.6,2095.21,1.12202,8189.88,7943.28,64005.1,1532.49,True,3.203852038520385,6.242547958374691e-06,(97.79174367789791+0j)
8132,33692,1.25893,999999,35357,406442,-308.119,113327,887205.0,-1590.05,1619.63,1.25893,7198.49,7943.28,50083.2,1346.98,True,3.203852038520385,6.242547958374691e-06,(184.88701300484274+0j)
2622,5387,1.41254,999999,5633,385998,-630.965,18445,893076.0,754.965,983.915,1.41254,16740.3,19952.6,57164.2,7331.39,1,3.2579125791257915,0.0024064729210406,(23111.823794582724+0j)
3068,46756,1.58489,999999,48911,385998,62.4101,159255,891104.0,1987.78,1988.76,1.58489,14770.7,19952.6,47826.5,6247.86,1,3.2579125791257915,0.0020197183444448,(39910.58656377849+0j)
2000,5387,1.77828,999999,5633,385998,-69.7309,18445,893076.0,907.564,910.238,1.77828,18742.9,25118.9,50313.0,8208.41,1,3.2579125791257915,0.0021916092673763,(56721.148105455+0j)
3382,69159,1.99526,999999,72326,385998,-1361.6,235665,891133.0,-2595.6,2931.06,1.99526,20474.9,19952.6,62583.8,4188.4,1,3.2579125791257915,0.0009699559222561,(79652.83703773105+0j)
2066,69159,2.23872,999999,72326,385998,-541.13,235665,891133.0,-2806.29,2857.98,2.23872,25370.7,25118.9,69162.4,5189.9,1,3.2579125791257915,0.0009269831915233,(86056.639366415+0j)
3816,8523,2.51189,999999,8928,385998,111.904,29143,892462.0,-2154.21,2157.11,2.51189,22338.3,25118.9,54695.0,4006.15,1,3.2579125791257915,0.0006630078455928,(48336.354741672214+0j)
3218,58457,2.51189,999999,61155,385998,1236.25,199191,892088.0,-3820.76,4015.79,2.51189,335329.0,501187.0,93415.7,1594880.0,1,3.2579125791257915,0.0008226208454577,(150.58251311102384+0j)
3422,5542,2.23872,999999,5798,385998,71.6898,18989,892393.0,-764.572,767.925,2.23872,48985.8,1000000.0,73269.5,8225440.0,1,3.2579125791257915,0.0001964467690645,(11.5231781344075+0j)
792,23544,1.99526,999999,24654,385998,1977.32,80169,894416.0,-747.093,2113.75,1.99526,58740.1,1000000.0,92650.5,10520800.0,1,3.2579125791257915,9.822338453227252e-05,(3.2229989927191514+0j)
