m,tanb
0.17671702130849293, 9.390259531572127
0.19817328162776432, 12.385004675206195
0.22463501322500898, 14.957650730192785
0.2528129858535019, 25.694257109482404
0.2804790750537034, 31.031536417971687
0.3145337009403355, 38.91920267392943
0.3578118697501592, 48.81177381527166
0.40125592831247775, 61.99400967959819
0.44516657739296245, 76.77960997166018
0.4992168884453897, 100
0.5578286009333246, 120.77226551344623
0.6255578756038521, 161.30590764628252
0.6965042883655924, 210.08951166308523
0.7866851154298096, 247.42445535888422
0.8853660438014694, 291.3941806281862
0.9964254008904089, 338.8867936577818
1.257573673211965, 627.7897312187819
1.57020535494647, 1000
1.9888421295831686, 1633.4835079813731
2.2544087397237598, 2154.4346900318847
2.5281298585350194, 2412.757427289825
2.835085079735565, 3222.5281614508085
3.190715079838076, 3519.2335351900447
3.5525837380190413, 4583.552243217979
4.012559283124777, 5535.659885126738
4.451665773929622, 6199.400967959819
4.467635780813699, 63573.87571164842
4.026954029412681, 40416.376730001124
3.590954921767524, 28415.27821329991
3.167944795459048, 33888.67936577818
2.8452557283286075, 27362.66982088481
2.501115502338611, 18525.05742235394
2.2383203310675164, 13024.291219623363
2.003137360024214, 9390.259531572136
1.7862572826550154, 6685.541854386596
1.5758383452924118, 6357.387571164835
1.4203997115276292, 5263.946605735431
1.2530783514794557, 4041.6376730001125
1, 2634.9053988016867
0.8949288143528866, 2601.9595841591
0.7951820408627863, 1592.8900239553384
0.7065528207044327, 1352.531974983535
0.6300542073402691, 927.2847441516205
0.5679064842065539, 828.0046712286478
0.5010077904470202, 677.0193677597402
0.44836630788631116, 604.5340469072474
0.39554930164049124, 409.28125822638094
0.3145337009403355, 250.55732502139745
0.2794764748017574, 226.56418428979745
0.24743898083081292, 135.2531974983535
0.22064871353426882, 114.844258915652
0.19959769470006827, 102.54841724259393
0.17482870985824087, 96.29562524599031
0.15814915435558333, 49.42982478819383
0.14052220165927978, 39.411994662375044
0.1239688570565081, 31.031536417971687
0.11174073110195806, 24.742445535888447
